id,Address,Longitude,Latitude,CenterDistance,Station,StationDistance
295,"Есенина, 55",27.440226,53.856233,9470,Каменная Горка,5600
296,"Широкая, 38",27.602659,53.949725,5910,Московская,2901
297,"Алибегова, 3",27.482052,53.870458,6311,Институт Культуры,4194
298,"М.Богдановича, 55",27.561499,53.918577,1812,Площадь Победы,1372
299,"М.Лынькова, 23/а",27.554914,53.906077,621,Немига,71
300,"Балтийская, 4",27.561732,53.859594,4743,Институт Культуры,3257
301,"Кунцевщина, 48",27.437522,53.915125,8264,Каменная Горка,947
302,"Колесникова, 10",27.438016,53.918291,8300,Каменная Горка,1300
303,"Харьковская, 58",27.513493,53.900326,3175,Молодёжная,956
304,"Притыцкого, 87",27.44779,53.905668,7478,Кунцевщина,423
305,"Немига, 42",27.541996,53.899488,1338,Фрунзенская,681
306,"Есенина, 85",27.4424,53.860263,9113,Кунцевщина,5142
307,"Есенина, 143",27.428827,53.864437,9676,Каменная Горка,4719
308,"Казинца, 122",27.50283,53.840829,7848,Институт Культуры,5595
309,"Кальварийская, 5",27.536705,53.905334,1682,Фрунзенская,171
310,"Брестская,  68/2",27.519053,53.853938,6060,Институт Культуры,3832
311,"Московская, 7",27.539786,53.889359,2037,Институт Культуры,369
312,"Захарова, 56",27.583265,53.898379,1466,Пролетарская,920
313,"Менделеева, 5",27.620716,53.900889,3856,Тракторный завод,1267
314,"пл. Независимости, 153/1",27.547242,53.895509,1218,Площадь Ленина,228
315,"Кропоткина, 114",27.56705,53.925619,2616,Площадь Якуба Коласа,1535
316,"пр-т Пушкина, 3",27.496515,53.896416,4328,Пушкинская,1447
317,"Я.Купалы, 7",27.569727,53.900708,543,Купаловская,525
318,"Одинцова, 3/2",27.459549,53.898427,6713,Кунцевщина,912
319,"Селицкого, 79",27.703289,53.838199,11686,Могилёвская,3251
320,"Я.Мавра, 30",27.487576,53.901292,4865,Спортивная,899
321,"40 лет победы, 32",27.576087,53.892532,1428,Первомайская,364
322,"Корженевского, 13",27.497682,53.847071,7438,Институт Культуры,5156
323,"Шамякина, 11",27.423868,53.893508,9088,Каменная Горка,1704
324,"Червякова, 64",27.548563,53.930719,3279,Немига,2799
325,"Одоевского, 107",27.483516,53.901838,5130,Спортивная,742
326,"Мирошниченко, 12",27.616359,53.959214,7263,Московская,3535
327,"Грушевская, 91",27.514014,53.881388,3900,Институт Культуры,1801
328,"К.Чорного, 11",27.603001,53.926457,3804,Академия наук,550
329,"Ольшевского, 77",27.476815,53.923875,6063,Спортивная,1748
330,"Асаналиева, 5",27.549695,53.851267,5724,Институт Культуры,3914
331,"Городецкая, 20",27.684909,53.949312,9599,Уручье,454
332,"Лобанка, 22",27.43401,53.901393,8372,Каменная Горка,620
333,"Червякова,61/1",27.546542,53.930597,3303,Немига,2806
334,"Червякова, 61/1",27.546542,53.930597,3303,Немига,2806
335,"М.Горецкого, 7/2",27.454806,53.879461,7456,Кунцевщина,2950
336,"Шаранговича, 80",27.425485,53.881467,9226,Каменная Горка,2900
337,"пр-т Независимости, 29",27.565388,53.904199,314,Октябрьская,312
338,"Одинцова, 7",27.457267,53.898231,6864,Кунцевщина,887
339,"Комсомольская, 26",27.554357,53.900273,540,Купаловская,485
340,"пр-т Газ-ты Правда, 44",27.474533,53.862467,7232,Кунцевщина,5018
341,"Долгиновский тр-т, 50/5",27.547018,53.940303,4336,Площадь Якуба Коласа,3622
342,"Лещинского, 7",27.452039,53.908771,7226,Кунцевщина,339
343,"пр-т Независимости, 40",27.576177,53.908973,1196,Площадь Победы,68
344,"Космонавтов, 25",27.459109,53.851251,8802,Кунцевщина,6093
345,"М.Танка, 16",27.535483,53.907716,1830,Фрунзенская,359
346,"Слободская, 75",27.437801,53.852775,9814,Каменная Горка,5982
347,"Могилевская, 8/2",27.544296,53.882704,2461,Институт Культуры,453
348,"Олешева, 1",27.608193,53.944686,5604,Московская,2234
349,"М.Горецкого, 23",27.448904,53.883081,7699,Кунцевщина,2572
350,"Чайлытко, 16",27.436426,53.88782,8370,Каменная Горка,2088
351,"Логойский т-т, 37/1",27.621174,53.957964,7304,Восток,3251
352,"пр-т Победителей, 75-1",27.50769,53.931467,4806,Пушкинская,2542
353,"пр-т Победителей, 3",27.551015,53.906416,847,Немига,210
354,"Ваньковича, 55",27.642635,53.921552,5704,Московская,1230
355,"Слободская, 75",27.437801,53.852775,9814,Каменная Горка,5982
356,"Березогорская, 8",27.903038,53.873707,22569,Могилёвская,15067
357,"Пулихова, 45",27.584397,53.894846,1690,Пролетарская,522
358,"Полевая, 10",27.566386,53.874238,3130,Институт Культуры,2152
359,"Берута, 11а",27.507025,53.90179,3591,Пушкинская,1063
360,"Старовиленский тр-т, 10",27.54965,53.92257,2393,Немига,1893
361,"Сурганова, 88",27.57836,53.931944,3469,Академия наук,1739
362,"Кирова, 3",27.551402,53.892686,1267,Площадь Ленина,235
363,"пер. Червякова, 64",27.538026,53.93858,4326,Молодёжная,3685
364,"Восточная, 133",27.598653,53.941082,4939,Парк Челюскинцев,2093
365,Подгорная,27.681172,53.953297,9648,Уручье,959
366,"пр-т Пушкина, 81",27.498518,53.921223,4651,Пушкинская,1313
367,"пр-т Победителей, 57",27.528611,53.920412,2967,Молодёжная,1577
368,"Пионерская, 7",27.487504,53.938872,6342,Пушкинская,3333
369,"Корш-Саблина, 9",27.59099,53.936015,4206,Академия наук,1633
370,"Пулихова, 7/2",27.57677,53.898873,1046,Первомайская,681
371,"Логойский тр-т, 10",27.608678,53.941373,5316,Московская,1921
372,"Брестская, 87",27.522494,53.851442,6210,Институт Культуры,4020
373,"Скрипникова, 7",27.420733,53.889444,9351,Каменная Горка,2197
374,"Калинина, 7/а",27.605759,53.926409,3930,Парк Челюскинцев,538
375,"Воронянского, 21",27.551096,53.878102,2777,Институт Культуры,1130
376,"Корш-Саблина, 11",27.59073,53.935596,4157,Академия наук,1595
377,"Л.Беды, 40",27.596452,53.939693,4734,Академия наук,1962
378,"пер. Луговой, 119",27.5697,53.882147,2295,Первомайская,1296
379,"Славинского, 8",27.629483,53.941617,6220,Московская,1510
380,"Стариновская, 25",27.697692,53.946684,10166,Уручье,667
381,"Пионерская, 9",27.48587,53.938702,6413,Пушкинская,3337
382,"пр-т Рокоссовского, 80",27.603737,53.862982,5156,Партизанская,2183
383,"Можайская, 51",27.554914,53.906077,621,Немига,71
