N,Rayon,Cena,LnCena,CenaM,Nkomnat,PlOb,LnPlOb,PlZ,LnPlZ,PlK,LnPlK,ketaz,Type,God
164,Ленинский,62800,11.04771035,1256,2,50,3.912023005,29.3,3.377587516,9,2.197224577,0,0,2002
165,Октябрьский,55000,10.91508846,1238,2,44.41,3.793464669,29.3,3.377587516,5.88,1.771556762,0,1,1967
166,Фрунзенский,66000,11.09741002,1320,2,50,3.912023005,29.31,3.377928755,7.14,1.965712776,0,0,1983
167,Октябрьский,55000,10.91508846,1100,2,50,3.912023005,29.4,3.380994674,7.2,1.974081026,0,0,1978
168,Фрунзенский,54900,10.91326863,1009,2,54.4,3.996364154,29.5,3.384390263,8.3,2.116255515,1,0,1978
169,Партизанский,55000,10.91508846,1168,2,47.1,3.852273001,29.6,3.387774361,9.1,2.208274414,1,1,1947
170,Московский,55000,10.91508846,1369,2,40.18,3.693369359,29.63,3.388787362,4.77,1.562346305,0,1,1958
171,Советский,79900,11.28853113,1658,2,48.18,3.874943997,29.68,3.390473418,6.59,1.885553349,1,1,1970
172,Ленинский,55000,10.91508846,1242,2,44.3,3.790984677,29.7,3.391147046,5.6,1.722766598,1,1,1959
173,Советский,75400,11.23056255,1300,1,58,4.060443011,29.7,3.391147046,11.4,2.433613355,0,0,2010
174,Ленинский,80000,11.28978191,1597,2,50.1,3.914021008,29.8,3.394508394,7.5,2.014903021,0,1,1988
175,Ленинский,55000,10.91508846,1100,2,50,3.912023005,30,3.401197382,6.7,1.902107526,0,1,1971
176,Московский,58000,10.96819829,1234,2,47,3.850147602,30,3.401197382,7,1.945910149,0,0,1990
177,Октябрьский,49700,10.81376021,1156,2,43,3.761200116,30,3.401197382,6,1.791759469,0,0,1967
178,Первомайский,57500,10.95954023,1278,2,45,3.80666249,30,3.401197382,6,1.791759469,0,0,1962
179,Первомайский,85000,11.35040654,1574,2,54,3.988984047,30,3.401197382,10,2.302585093,0,1,1996
180,Советский,90000,11.40756495,1689,2,53.3,3.975936331,30,3.401197382,9,2.197224577,0,1,1997
181,Советский,129000,11.76756768,2179,2,59.2,4.080921542,30,3.401197382,11.9,2.4765384,1,1,2009
182,Фрунзенский,59000,10.98529272,1180,2,50,3.912023005,30,3.401197382,8.4,2.128231706,0,0,1977
